Id,Name,Lat,Lon,Type,Icon,City,District
3153,台3丙線1197-1,23.814006,120.732973,郵局,📮,南投縣,竹山鎮
29136,台7丙線68-86號,24.662282,121.628302,公車站,🚌,宜蘭縣,三星鄉
29160,中興路二段,24.694036,121.687816,餐廳,🍴,宜蘭縣,三星鄉
29165,健富路二段407,24.697543,121.683714,大學&學院,🎓,宜蘭縣,三星鄉
29181,三星,24.666702,121.650612,公園,🌳,宜蘭縣,三星鄉
29872,五濱路二段201號,24.686864,121.820833,水邊,🌊,宜蘭縣,五結鄉
29906,傳藝大橋,24.682791,121.82539,橋樑,🌉,宜蘭縣,五結鄉
30227,宜26鄉道141-1,24.687147,121.74001,便利店,🏪,宜蘭縣,冬山鄉
30849,大通路146-6號,24.46611,121.796032,主題樂園,🎡,宜蘭縣,南澳鄉
32402,吉祥路101-69號,24.760076,121.755425,義式餐廳,🍝,宜蘭縣,宜蘭市
32835,抹茶山下,24.820879,121.757326,咖啡杯,☕,宜蘭縣,礁溪鄉
34160,中山路二段162巷8,24.606368,121.830688,森林,🌲,宜蘭縣,蘇澳鎮
34606,合興路66,24.932145,121.885807,海灘,🏖️,宜蘭縣,合興里
35581,中正路505巷2號,22.6915,120.49993,美術館,🖼️,屏東縣,北勢頭
39573,屏東,22.668451,120.489851,路邊,🛣️,屏東縣,屏東市
39596,廣東路744-786,22.687265,120.492261,壽司,🍣,屏東縣,屏東市
49788,屏85鄉道116-1,22.586665,120.544538,拉麵店,🍜,屏東縣,竹田鄉
89657,錦順街53-46號,25.051168,121.285255,服裝店,👕,桃園市,蘆竹區
101039,大同路一段,25.058754,121.636381,墨西哥餐廳,🌮,新北市,汐止區
126088,富愛街6號,23.654745,121.451471,五金行,🔧,花蓮縣,光復鄉
126488,南海九街202巷2-,23.945005,121.586636,路邊,🛣️,花蓮縣,吉安鄉
129072,草林,24.118637,121.638678,自助洗衣店&乾洗店,🧺,花蓮縣,新城鄉
129210,路邊,24.057789,121.609028,路邊,🛣️,花蓮縣,新城鄉
129485,花蓮縣瑞穗鄉公所,23.491918,121.446214,路邊,🛣️,花蓮縣,瑞穗鄉
130140,花蓮縣原住民族野菜學,23.992093,121.611207,森林,🌲,花蓮縣,花蓮市
160073,建武路157-147,22.643878,120.330083,咖哩,🍛,高雄市,三民區
163715,機場,22.784503,120.261233,機場,✈️,高雄市,岡山區
180531,民雄,23.557611,120.419192,公園,🌳,嘉義縣,民雄鄉
180534,八股路366-370,25.053044,121.253185,機場,✈️,桃園市,蘆竹區
180536,民義街68巷25-2,25.089925,121.474121,便利店,🏪,新北市,蘆洲區
180537,民族路227巷29號,25.088787,121.476325,公園,🌳,新北市,蘆洲區
180538,鯤鯓路127之11號,22.957953,120.169475,森林,🌲,臺南市,南區
180543,中正路421-409,23.228366,120.350883,餐廳,🍴,臺南市,六甲區
180546,和緯路五段89巷99,23.004019,120.184444,餐廳,🍴,臺南市,中西區
180547,成章三街33-23號,24.9787,121.257037,公車站,🚌,桃園市,中壢區
180549,彰195鄉道50-6,24.105797,120.53153,水邊,🌊,彰化縣,和美鎮
180550,文化路324-378,23.711941,120.553658,自助洗衣店&乾洗店,🧺,雲林縣,斗六市
180551,學府路一段,23.451862,120.293093,大學&學院,🎓,嘉義縣,太保市
180552,嘉57鄉道,23.529859,120.289097,麵包店,🥐,嘉義縣,六腳鄉
180553,媽祖大橋,23.568988,120.292216,橋樑,🌉,雲林縣,北港鎮
180554,新北市特二號快速道路,25.048398,121.442009,公園,🌳,新北市,新莊區
180557,南泰路3-4號,25.036697,121.416559,森林,🌲,新北市,泰山區
180563,155縣道198-2,23.578442,120.294708,便利店,🏪,雲林縣,北港鎮
180564,中央公路271-23,23.579151,120.298177,路邊,🛣️,雲林縣,北港鎮
180568,長春二路104-23,24.977781,121.246275,麵包店,🥐,桃園市,中壢區
180570,金馬路三段539巷4,24.078923,120.532593,水邊,🌊,彰化縣,彰化市
180571,嘉113鄉道,23.504236,120.531533,車站,🚉,嘉義縣,竹崎鄉
